trajectory_id,folder,family,slot,checkpoint_id,parent_numerically_valid,parent_complete,parent_insertion_success,parent_stalled,checkpoint_depth_mm,reached,reference_time_s,checkpoint_kind,prefix_numerically_valid,Y_R_tested,label_reason,depth_mm,force_n,torque_nm,normal_load_n,tilt_deg,tip_x_mm,tip_y_mm,prefix_max_force_n,prefix_max_torque_nm,prefix_max_normal_load_n,prefix_max_penetration_mm,wrist_force_n,wrist_torque_nm,wrist_force_world_0,wrist_force_world_1,wrist_force_world_2,command_tilt_deg,command_roll_deg,command_pitch_deg,tilt_triggered,tilt_ramp_fraction,prefix_max_wrist_force_n,prefix_max_wrist_torque_nm,fx,fy,fz,taux,tauy,tauz,vx,vy,vz,omegax,omegay,omegaz,qw,qx,qy,qz,joint1_rad,joint_velocity1_rad_s,joint2_rad,joint_velocity2_rad_s,joint3_rad,joint_velocity3_rad_s,joint4_rad,joint_velocity4_rad_s,joint5_rad,joint_velocity5_rad_s,joint6_rad,joint_velocity6_rad_s,joint7_rad,joint_velocity7_rad_s,sample_role,split_group_id,path_group_id,final_pitch_deg,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s
g0507_aligned_try00,g0507_aligned_try00,centered,0,pre_tilt,True,True,True,False,,False,,pre_tilt,False,,event_recorded_without_recovery_probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aligned_control,g0507_aligned,g0507_aligned,0.0,g0507_aligned,0.507,0.5059210604307709,9.0,7.986,,,0.0,1,pitch,1.0
g0507_aligned_try00,g0507_aligned_try00,centered,0,ramp_complete,True,True,True,False,,False,,ramp_complete,False,,event_recorded_without_recovery_probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aligned_control,g0507_aligned,g0507_aligned,0.0,g0507_aligned,0.507,0.5059210604307709,9.0,7.986,,,0.0,1,pitch,1.0
g0507_aligned_try00,g0507_aligned_try00,centered,0,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aligned_control,g0507_aligned,g0507_aligned,0.0,g0507_aligned,0.507,0.5059210604307709,9.0,7.986,,,0.0,1,pitch,1.0
g0507_aligned_try00,g0507_aligned_try00,centered,0,terminal,True,True,True,False,20.048116892576218,True,10.999999999999469,terminal,True,1,safe_policy_witness,20.048116892576218,0.0,0.0,0.0,0.05595291190411357,-0.08666515350341797,0.00565993832424283,0.0,0.0,0.0,0.0,0.00011049897875636816,0.00010321287118131295,-4.217778950987849e-06,-6.719952943967655e-05,-8.761537173995748e-05,0.0,0.0,0.0,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012970052193850279,0.00019282680295873433,0.0038083200342953205,0.013170375488698483,0.0938970297574997,0.08610048145055771,-0.00015909444482531399,0.00047619082033634186,1.9068008896283573e-06,0.9999998807907104,-0.480781227350235,0.00022636089124716818,0.5589636564254761,-0.0005826262640766799,0.48654377460479736,-0.0001862404023995623,-2.0144166946411133,0.0006108583183959126,-0.413425087928772,-7.294065289897844e-05,2.476250171661377,0.0016250940971076488,1.0584487915039062,0.0008406055858358741,aligned_control,g0507_aligned,g0507_aligned,0.0,g0507_aligned,0.507,0.5059210604307709,9.0,7.986,,,0.0,1,pitch,1.0
g0507_d30_pitch_pos05_try00,g0507_d30_pitch_pos05_try00,tilt_only,1,pre_tilt,True,True,True,False,6.026206165552141,True,6.249999999999737,pre_tilt,True,,event_recorded_without_recovery_probe,6.026206165552141,0.0,0.0,0.0,0.027976455118293345,-0.06669759750366211,0.02940980084531475,0.0,0.0,0.0,0.0,0.0011226331116631627,0.00019801929011009634,0.00042075017699971795,-0.0007276332471519709,-0.0007441936759278178,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008704521460458636,-5.052349479228724e-06,-0.0017627933993935585,0.012606150470674038,0.06579519063234329,0.06481233239173889,-6.614326412091032e-05,0.00023744766076561064,-6.910193769726902e-05,0.9999999403953552,-0.4823783338069916,0.001697222120128572,0.5275029540061951,0.01169564388692379,0.49163690209388733,-0.0031109494157135487,-2.018965244293213,0.0027257781475782394,-0.38456833362579346,-0.01048140786588192,2.4560601711273193,0.008349549025297165,1.0399712324142456,0.006837243214249611,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos05,0.5,g0507_d30_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,0.5,1,pitch,1.0
g0507_d30_pitch_pos05_try00,g0507_d30_pitch_pos05_try00,tilt_only,1,ramp_complete,True,True,True,False,11.48710921406746,True,7.24999999999968,ramp_complete,True,,event_recorded_without_recovery_probe,11.48710921406746,0.0,0.0,0.0,0.35110227107990044,0.0502467155456543,0.0332001582137309,0.0,0.0,0.0,0.0,0.002511780010536313,0.0008168093045242131,-0.0018324530683457851,-0.0014667625073343515,0.0008942943532019854,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040611359872855246,2.833162943716161e-05,-0.0013915428426116705,0.013331107795238495,0.07908520102500916,0.06997182965278625,-0.00012415611126925796,0.0030625415965914726,-1.066580898623215e-05,0.999995231628418,-0.47987234592437744,0.0016812277026474476,0.5420370101928711,0.01594582386314869,0.48903101682662964,-0.0008852999308146536,-2.0116639137268066,0.01274136919528246,-0.3929837942123413,-0.007647879421710968,2.4554505348205566,-0.0069456519559025764,1.0449092388153076,0.004505719989538193,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos05,0.5,g0507_d30_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,0.5,1,pitch,1.0
g0507_d30_pitch_pos05_try00,g0507_d30_pitch_pos05_try00,tilt_only,1,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos05,0.5,g0507_d30_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,0.5,1,pitch,1.0
g0507_d30_pitch_pos05_try00,g0507_d30_pitch_pos05_try00,tilt_only,1,terminal,True,True,True,False,20.047710835933685,True,10.999999999999469,terminal,True,1,safe_policy_witness,20.047710835933685,0.0,0.0,0.0,0.557077972858563,-0.09059906005859375,0.006112140908953734,0.0,0.0,0.0,0.0,0.00011702933988999575,0.00011225767957512289,1.5303479813155718e-05,8.58927087392658e-05,-7.800072489771992e-05,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013220920227468014,0.00016382537432946265,0.0038184700533747673,0.01420615240931511,0.09685191512107849,0.09179271757602692,-0.00013982399832457304,0.004861652851104736,1.0766541890916415e-05,0.9999881386756897,-0.48015159368515015,0.00024995868443511426,0.562812089920044,-0.0005815090262331069,0.487878680229187,-0.000282725173747167,-2.0059754848480225,0.0006156163872219622,-0.41046619415283203,3.544855280779302e-05,2.4623851776123047,0.0017934615025296807,1.0558394193649292,0.0005920622497797012,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos05,0.5,g0507_d30_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,0.5,1,pitch,1.0
g0507_d30_pitch_pos20_try00,g0507_d30_pitch_pos20_try00,tilt_only,2,pre_tilt,True,True,True,False,6.026206165552141,True,6.249999999999737,pre_tilt,True,,event_recorded_without_recovery_probe,6.026206165552141,0.0,0.0,0.0,0.027976455118293345,-0.06669759750366211,0.02940980084531475,0.0,0.0,0.0,0.0,0.0011226331116631627,0.00019801929011009634,0.00042075017699971795,-0.0007276332471519709,-0.0007441936759278178,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008704521460458636,-5.052349479228724e-06,-0.0017627933993935585,0.012606150470674038,0.06579519063234329,0.06481233239173889,-6.614326412091032e-05,0.00023744766076561064,-6.910193769726902e-05,0.9999999403953552,-0.4823783338069916,0.001697222120128572,0.5275029540061951,0.01169564388692379,0.49163690209388733,-0.0031109494157135487,-2.018965244293213,0.0027257781475782394,-0.38456833362579346,-0.01048140786588192,2.4560601711273193,0.008349549025297165,1.0399712324142456,0.006837243214249611,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos20,2.0,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0
g0507_d30_pitch_pos20_try00,g0507_d30_pitch_pos20_try00,tilt_only,2,ramp_complete,True,True,True,False,11.279774457216265,True,7.24999999999968,ramp_complete,True,,event_recorded_without_recovery_probe,11.279774457216265,0.09200172871351242,0.0010130767477676272,0.07360140234231949,1.3883258953714561,0.2587437629699707,0.014298372661869507,1.012580156326294,0.010753504000604153,0.8100641965866089,0.004217374680592911,0.09643840789794922,0.013208176009356976,0.07065221667289734,0.002078315243124962,-0.06560725718736649,2.0,0.0,2.0,True,1.0,,,-0.07355162501335144,-0.0027733659371733665,0.05519769340753555,4.1394392610527575e-05,-0.0010122288949787617,1.912787411129102e-06,0.0004533802275545895,0.00011583233572309837,-0.0009778342209756374,0.012205886654555798,-0.0037553932052105665,-0.0003648041747510433,-3.774642027565278e-05,0.012115330435335636,-1.3877535820938647e-05,0.9999265670776367,-0.47752004861831665,-0.0014723665080964565,0.5502320528030396,0.022575922310352325,0.49068111181259155,0.006779336370527744,-1.9930745363235474,0.02922922931611538,-0.3869101107120514,-0.0023378951009362936,2.426286458969116,-0.041965458542108536,1.0397484302520752,-0.0007545656408183277,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos20,2.0,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0
